# ra	dec	mag	bv	bayer	flamsteed	constellation
# Bright Star Catalogue V/50 (Hoffleit & Warren 1991), CDS Strasbourg. J2000.
101.2871	-16.7161	-1.46	0.00	α	9	CMa
95.9879	-52.6958	-0.72	+0.15	α		Car
213.9154	19.1825	-0.04	+1.23	α	16	Boo
219.8996	-60.8353	-0.01	+0.71	α¹		Cen
279.2346	38.7836	0.03	0.00	α	3	Lyr
79.1725	45.9981	0.08	+0.80	α	13	Aur
78.6346	-8.2017	0.12	-0.03	β	19	Ori
114.8254	5.2250	0.38	+0.42	α	10	CMi
24.4288	-57.2367	0.46	-0.16	α		Eri
88.7929	7.4069	0.50	+1.85	α	58	Ori
210.9558	-60.3731	0.61	-0.23	β		Cen
297.6958	8.8683	0.77	+0.22	α	53	Aql
68.9800	16.5092	0.85	+1.54	α	87	Tau
247.3517	-26.4319	0.96	+1.83	α	21	Sco
201.2983	-11.1614	0.98	-0.23	α	67	Vir
116.3287	28.0261	1.14	+1.00	β	78	Gem
344.4129	-29.6222	1.16	+0.09	α	24	PsA
191.9300	-59.6886	1.25	-0.23	β		Cru
310.3579	45.2803	1.25	+0.09	α	50	Cyg
186.6496	-63.0992	1.33	-0.24	α¹		Cru
219.9004	-60.8356	1.33	+0.88	α²		Cen
152.0929	11.9672	1.35	-0.11	α	32	Leo
104.6562	-28.9722	1.50	-0.21	ε	21	CMa
187.7913	-57.1133	1.63	+1.59	γ		Cru
263.4021	-37.1039	1.63	-0.22	λ	35	Sco
81.2829	6.3497	1.64	-0.22	γ	24	Ori
81.5729	28.6075	1.65	-0.13	β	112	Tau
138.3000	-69.7172	1.68	0.00	β		Car
84.0533	-1.2019	1.70	-0.19	ε	46	Ori
186.6521	-63.0994	1.73	-0.26	α²		Cru
332.0583	-46.9611	1.74	-0.13	α		Gru
193.5071	55.9597	1.77	-0.02	ε	77	UMa
122.3833	-47.3367	1.78	-0.22	γ²		Vel
51.0808	49.8611	1.79	+0.48	α	33	Per
165.9321	61.7508	1.79	+1.07	α	50	UMa
107.0979	-26.3933	1.84	+0.68	δ	25	CMa
276.0429	-34.3847	1.85	-0.03	ε	20	Sgr
125.6283	-59.5097	1.86	+1.28	ε		Car
206.8850	49.3133	1.86	-0.19	η	85	UMa
264.3300	-42.9978	1.87	+0.40	θ		Sco
89.8821	44.9475	1.90	+0.03	β	34	Aur
252.1662	-69.0278	1.92	+1.44	α		TrA
99.4279	16.3992	1.93	0.00	γ	24	Gem
306.4121	-56.7350	1.94	-0.20	α		Pav
131.1758	-54.7083	1.96	+0.04	δ		Vel
95.6750	-17.9558	1.98	-0.23	β	2	CMa
113.6500	31.8883	1.98	+0.03	α	66	Gem
141.8967	-8.6586	1.98	+1.44	α	30	Hya
31.7933	23.4625	2.00	+1.15	α	13	Ari
239.8758	25.9203	2.00	+0.1			
37.9529	89.2642	2.02	+0.60	α	1	UMi
283.8163	-26.2967	2.02	-0.22	σ	34	Sgr
10.8975	-17.9867	2.04	+1.02	β	16	Cet
85.1896	-1.9428	2.05	-0.21	ζ	50	Ori
2.0971	29.0906	2.06	-0.11	α	21	And
17.4329	35.6206	2.06	+1.58	β	43	And
86.9392	-9.6697	2.06	-0.17	κ	53	Ori
211.6708	-36.3700	2.06	+1.01	θ	5	Cen
222.6763	74.1556	2.08	+1.47	β	7	UMi
263.7337	12.5600	2.08	+0.15	α	55	Oph
340.6671	-46.8847	2.10	+1.60	β		Gru
47.0421	40.9556	2.12	-0.05	β	26	Per
177.2650	14.5719	2.14	+0.09	β	94	Leo
190.3792	-48.9597	2.17	-0.01	γ		Cen
305.5571	40.2567	2.20	+0.68	γ	37	Cyg
136.9992	-43.4325	2.21	+1.66	λ		Vel
10.1271	56.5372	2.23	+1.17	α	18	Cas
