# id	type	ra	dec	mag	band	majax	minax	pa	name
# OpenNGC (Mattia Verga), CC-BY-SA-4.0. J2000. Axes in arcminutes, angles in degrees.
# mag is V where measured and B otherwise; `band` says which. See NOTICE.txt.
IC0002	G	2.75367	-12.82286	15.46	B	0.98	0.32	142	
IC0003	G	3.02538	-0.41522	14.78	B	0.93	0.67	53	
IC0004	G	3.36225	17.48644	14.14	B	1.17	0.84	12	
IC0005	G	4.39554	-9.54336	14.57	B	0.99	0.66	9	
IC0006	G	4.72933	-3.27608	14.57	B	1.23	1.08	146	
IC0007	G	4.72150	10.59469	14.63	B	0.90	0.63	174	
IC0008	G	4.76133	-3.22208	15.16	B	0.82	0.34	129	
IC0009	G	4.93325	-14.12189	15.41	B	0.59	0.46	122	
IC0010	G	5.07225	59.30378	10.35	V	6.76	6.03	129	
IC0012	G	5.06271	-2.65311	15.08	B	0.96	0.32	20	
IC0013	G	5.08371	7.70050	14.93	B	1.29	0.53	162	
IC0015	G	6.98996	-0.06128	15.90	B	0.44	0.38	91	
IC0016	G	7.03188	-13.09392	15.15	B	0.58	0.32	62	
IC0017	G	7.12408	2.64861	14.77	B	0.67	0.54	102	
IC0018	G	7.14567	-11.58669	15.03	B	1.08	0.41	29	
IC0019	G	7.16450	-11.64078	15.15	B	0.79	0.67	30	
IC0020	G	7.16533	-13.01031	14.88	B	0.91	0.77	18	
IC0021	G	7.29346	-0.16378	15.54	B	0.49	0.45	6	
IC0022	G	7.38821	-9.08075	14.73	B	0.81	0.44	45	
IC0023	G	7.71167	-12.72025	15.05	B	0.85	0.77	20	
IC0025	G	7.80038	-0.40736	15.29	B	0.86	0.44	34	
IC0027	G	8.27600	-13.37150	15.82	B	0.58	0.34	148	
IC0028	G	8.28633	-13.45628	15.56	B	0.30	0.22	85	
IC0029	G	8.54500	-2.17764	15.79	B	0.66	0.49	160	
IC0030	G	8.56133	-2.08458	15.17	B	0.69	0.39	23	
IC0031	G	8.60262	12.26817	15.62	B	1.16	0.23	90	
IC0032	G	8.75704	-2.14169	16.15	B	0.62	0.39	1	
IC0033	G	8.77150	-2.13769	15.29	B	0.78	0.58	123	
IC0034	G	8.90175	9.12425	13.77	B	2.81	1.05	156	
IC0035	G	9.41617	10.35797	14.96	B	0.90	0.74	18	
IC0036	G	9.45688	-15.44128	15.54	B	0.31	0.30	60	
IC0037	G	9.64242	-15.35869	16.23	B	0.67	0.38	158	
IC0038	G	9.66150	-15.41983	15.02	B	0.77	0.57	65	
IC0040	G	9.83917	2.45622	15.04	B	1.05	0.43	14	
IC0041	G	9.91821	-14.17433	15.20	B	0.71	0.45	162	
IC0042	G	10.27433	-15.42808	15.38	B	0.76	0.53	56	
