# ra	dec	mag	bv	bayer	flamsteed	constellation	pmra_mas	pmdec_mas
# Bright Star Catalogue V/50 (Hoffleit & Warren 1991), CDS Strasbourg. J2000.
# pmra_mas is the PROJECTED motion cos(dec).d(ra)/dt, as the catalogue states it.
101.2871	-16.7161	-1.46	0.00	α	9	CMa	-553.0	-1205.0
95.9879	-52.6958	-0.72	+0.15	α		Car	22.0	21.0
213.9154	19.1825	-0.04	+1.23	α	16	Boo	-1093.0	-1998.0
219.8996	-60.8353	-0.01	+0.71	α¹		Cen	-3642.0	699.0
279.2346	38.7836	0.03	0.00	α	3	Lyr	202.0	286.0
79.1725	45.9981	0.08	+0.80	α	13	Aur	76.0	-425.0
78.6346	-8.2017	0.12	-0.03	β	19	Ori	0.0	-1.0
114.8254	5.2250	0.38	+0.42	α	10	CMi	-710.0	-1023.0
24.4288	-57.2367	0.46	-0.16	α		Eri	95.0	-35.0
88.7929	7.4069	0.50	+1.85	α	58	Ori	26.0	9.0
210.9558	-60.3731	0.61	-0.23	β		Cen	-32.0	-19.0
297.6958	8.8683	0.77	+0.22	α	53	Aql	538.0	386.0
68.9800	16.5092	0.85	+1.54	α	87	Tau	63.0	-190.0
247.3517	-26.4319	0.96	+1.83	α	21	Sco	-10.0	-20.0
201.2983	-11.1614	0.98	-0.23	α	67	Vir	-41.0	-28.0
116.3287	28.0261	1.14	+1.00	β	78	Gem	-628.0	-46.0
344.4129	-29.6222	1.16	+0.09	α	24	PsA	333.0	-165.0
191.9300	-59.6886	1.25	-0.23	β		Cru	-48.0	-14.0
310.3579	45.2803	1.25	+0.09	α	50	Cyg	3.0	2.0
186.6496	-63.0992	1.33	-0.24	α¹		Cru	-36.0	-12.0
219.9004	-60.8356	1.33	+0.88	α²		Cen	-3646.0	700.0
152.0929	11.9672	1.35	-0.11	α	32	Leo	-248.0	6.0
104.6562	-28.9722	1.50	-0.21	ε	21	CMa	4.0	3.0
